id,date,price,bedrooms,bathrooms,sqft,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,v19,sqft_living15,sqft_lot15,cond1,cond2,cond4,cond5,logprice,logsqft,logsqft_lot
95,"20141223T000000",700000,3,1.5,1580,5000,1,0,0,3,8,1290,290,1939,0,98117,47.687,-122.386,1570,4500,0,0,0,0,13.45884,7.36518,8.517193
96,"20140908T000000",905000,4,2.5,3300,10250,1,0,0,3,7,2390,910,1946,1991,98040,47.5873,-122.249,1950,6045,0,0,0,0,13.71569,8.101678,9.235033
97,"20150330T000000",247500,3,1.75,1960,15681,1,0,0,3,7,1960,0,1967,0,98032,47.3576,-122.277,1750,15616,0,0,0,0,12.41917,7.5807,9.660205
98,"20140912T000000",199000,4,1.5,1160,6400,1,0,0,4,7,1160,0,1975,0,98023,47.3036,-122.378,1160,6400,0,0,1,0,12.20106,7.056175,8.764053
99,"20140711T000000",314000,3,1.75,1810,41800,1,0,0,5,7,1210,600,1980,0,98038,47.4109,-121.958,1650,135036,0,0,0,1,12.65715,7.501082,10.64065
100,"20140516T000000",437500,3,2.5,2320,36847,2,0,2,3,9,2320,0,1992,0,98045,47.4838,-121.714,2550,35065,0,0,0,0,12.98883,7.749322,10.51453
101,"20140611T000000",850830,3,2.5,2070,13241,1.5,0,0,5,9,1270,800,1910,0,98102,47.6415,-122.315,2200,4500,0,0,0,1,13.65397,7.635304,9.491074
102,"20141027T000000",555000,3,2,1980,3478,1.5,0,0,4,7,1440,540,1929,0,98117,47.6775,-122.372,1610,3478,0,0,1,0,13.22672,7.590852,8.154213
103,"20141212T000000",699950,3,2.25,2190,107593,2,0,0,4,8,2190,0,1983,0,98077,47.7731,-122.08,2570,47777,0,0,1,0,13.45876,7.691657,11.58611
104,"20141007T000000",1090000,3,2.5,2920,8113,2,0,0,3,8,2920,0,1950,2010,98004,47.5814,-122.196,2370,8113,0,0,0,0,13.90169,7.979339,9.001223
105,"20140924T000000",290000,3,1,1210,33919,1,0,0,3,7,1210,0,1954,0,98058,47.4375,-122.184,1640,14910,0,0,0,0,12.57764,7.098376,10.43173
106,"20150402T000000",375000,3,2.5,2340,10005,1,0,0,4,8,1460,880,1978,0,98058,47.4431,-122.133,2250,8162,0,0,1,0,12.83468,7.757906,9.21084
107,"20140523T000000",460000,3,1,1670,4005,1.5,0,0,4,7,1170,500,1939,0,98117,47.6878,-122.38,1240,4005,0,0,1,0,13.03898,7.420579,8.295299
108,"20140723T000000",188500,2,1.75,1240,2493,1,0,0,4,8,1240,0,1985,0,98198,47.3813,-122.322,1270,4966,0,0,1,0,12.14685,7.122867,7.821242
109,"20150305T000000",680000,4,2.5,3140,28037,2,0,0,4,10,3140,0,1991,0,98077,47.7304,-122.082,2990,35001,0,0,1,0,13.42985,8.051978,10.24128
110,"20140827T000000",470000,5,1.75,2030,12342,2,0,0,4,7,2030,0,1942,0,98052,47.6417,-122.109,2500,9433,0,0,1,0,13.06049,7.615791,9.420763
111,"20140725T000000",597750,4,2.5,2310,9624,2,0,0,3,8,2310,0,1984,0,98027,47.5386,-122.053,1940,9636,0,0,0,0,13.30093,7.745003,9.172015
112,"20150304T000000",570000,3,1.75,1260,3328,1,0,0,5,6,700,560,1905,0,98103,47.6823,-122.349,1380,3536,0,0,0,1,13.25339,7.138867,8.110126
113,"20140916T000000",272500,3,1.75,1540,12600,1,0,0,4,7,1160,380,1980,0,98038,47.3624,-122.031,1540,11656,0,0,1,0,12.51539,7.339538,9.441452
114,"20141124T000000",329950,3,1.75,2080,5969,1,0,2,3,7,1080,1000,1971,0,98108,47.5474,-122.295,2090,5500,0,0,0,0,12.7067,7.640123,8.694335
115,"20141028T000000",480000,4,2.5,3230,16171,2,0,3,3,9,2520,710,2001,0,98001,47.3183,-122.253,2640,8517,0,0,0,0,13.08154,8.080237,9.690975
116,"20141121T000000",740500,3,3.5,4380,6350,2,0,0,3,8,2780,1600,1900,1999,98117,47.6981,-122.368,1830,6350,0,0,0,0,13.51508,8.384804,8.75621
117,"20140626T000000",518500,3,3.5,1590,1102,3,0,0,3,8,1590,0,2010,0,98103,47.6824,-122.347,1620,3166,0,0,0,0,13.1587,7.37149,7.004882
118,"20140623T000000",205425,2,1,880,6780,1,0,0,4,6,880,0,1945,0,98178,47.5009,-122.248,1190,6780,0,0,1,0,12.23284,6.779922,8.821733
119,"20150108T000000",171800,4,2,1570,9600,1,0,0,3,6,1570,0,1950,0,98168,47.4965,-122.303,1880,9000,0,0,0,0,12.05409,7.358831,9.169518
120,"20150511T000000",535000,4,1,1610,2982,1.5,0,0,4,7,1610,0,1925,0,98144,47.587,-122.294,1610,4040,0,0,1,0,13.19002,7.383989,8.000349
121,"20150102T000000",660000,3,2.5,2400,6474,1,0,2,3,8,1560,840,1964,0,98177,47.7728,-122.386,2340,10856,0,0,0,0,13.39999,7.783224,8.77555
122,"20141119T000000",391500,3,2,1450,9132,1,0,0,3,7,1450,0,1987,0,98034,47.7288,-122.226,1580,9104,0,0,0,0,12.87774,7.279319,9.11954
123,"20150406T000000",395000,2,1,770,6000,1,0,0,3,6,770,0,1953,0,98117,47.6999,-122.364,1710,6000,0,0,0,0,12.88664,6.64639,8.699514
124,"20141104T000000",445000,4,1.75,2100,4400,1.5,0,0,5,7,1720,380,1924,0,98118,47.5299,-122.266,1850,4400,0,0,0,1,13.00583,7.649693,8.389359
125,"20140618T000000",770000,3,2.25,2910,10204,2,0,0,3,9,2910,0,1990,0,98052,47.6897,-122.098,2700,13992,0,0,0,0,13.55415,7.975908,9.230536
126,"20150302T000000",1450000,4,2.75,2750,17789,1.5,0,0,3,8,1980,770,1914,1992,98004,47.6141,-122.212,3060,11275,0,0,0,0,14.18707,7.919356,9.786336
127,"20140717T000000",445000,3,2.25,2100,8201,1,0,2,3,8,1620,480,1967,0,98178,47.5091,-122.244,2660,8712,0,0,0,0,13.00583,7.649693,9.012012
128,"20140717T000000",260000,4,2.25,2160,8811,1,0,0,3,8,1360,800,1978,0,98023,47.3129,-122.39,2090,8400,0,0,0,0,12.46844,7.677864,9.083756
129,"20140613T000000",822500,5,3.5,2320,4960,2,0,0,5,7,1720,600,1926,0,98103,47.6763,-122.352,1700,4960,0,0,0,1,13.6201,7.749322,8.509161
130,"20150406T000000",430000,4,2.5,2070,4310,2,0,0,3,7,2070,0,2004,0,98065,47.5319,-121.85,1970,3748,0,0,0,0,12.97154,7.635304,8.368693
131,"20150105T000000",212000,3,1.75,1060,7875,1,0,0,4,7,1060,0,1986,0,98092,47.2761,-122.152,1420,7680,0,0,1,0,12.26434,6.966024,8.971449
132,"20150428T000000",660500,4,2.25,2010,9603,1,0,0,3,8,1440,570,1986,0,98027,47.5343,-122.054,2060,9793,0,0,0,0,13.40075,7.60589,9.169831
133,"20140612T000000",784000,3,3.5,3950,111078,1.5,0,0,3,9,2460,1490,1989,0,98052,47.697,-122.072,2480,88500,0,0,0,0,13.57216,8.281471,11.61799
134,"20140512T000000",453246,3,2.5,2010,2287,2,0,0,3,8,1390,620,2014,0,98029,47.5517,-121.998,1690,1662,0,0,0,0,13.02419,7.60589,7.734996
135,"20150126T000000",675000,4,3.5,2140,2278,3,0,0,3,9,2140,0,2005,0,98107,47.6734,-122.38,1540,2285,0,0,0,0,13.42247,7.668561,7.731053
136,"20140813T000000",199000,3,1.75,1320,17390,1,0,0,4,7,1320,0,1956,0,98003,47.3257,-122.296,1550,19265,0,0,1,0,12.20106,7.185387,9.763651
137,"20140805T000000",220000,4,1.75,2020,7840,1,0,0,3,7,1010,1010,1968,0,98003,47.3309,-122.299,1750,8140,0,0,0,0,12.30138,7.610853,8.966994
138,"20140529T000000",452000,4,2.25,2590,10002,1,0,0,4,8,1340,1250,1968,0,98028,47.7689,-122.266,1550,10436,0,0,1,0,13.02144,7.859413,9.210541
139,"20140707T000000",382500,2,1,1190,4440,1,0,0,3,6,1190,0,1981,0,98125,47.7135,-122.287,1060,5715,0,0,0,0,12.85448,7.081708,8.39841
140,"20140507T000000",519950,3,2.25,1170,1249,3,0,0,3,8,1170,0,2014,0,98107,47.6722,-122.381,1350,1310,0,0,0,0,13.16149,7.064759,7.130098
141,"20140627T000000",665000,2,1,1110,3200,1,0,0,3,7,1110,0,1925,0,98119,47.6338,-122.358,1170,3600,0,0,0,0,13.40754,7.012115,8.070906
142,"20140708T000000",527700,5,2.5,2820,9375,1,0,0,4,8,1550,1270,1968,0,98006,47.5707,-122.128,2820,9375,0,0,1,0,13.17628,7.944492,9.145802
143,"20150508T000000",205000,3,1,1610,8579,1,0,0,4,7,1010,600,1962,0,98058,47.4563,-122.171,1610,8579,0,0,1,0,12.23077,7.383989,9.057073
144,"20150415T000000",420000,3,1,1060,8097,1,0,0,4,7,940,120,1923,0,98133,47.7144,-122.351,1560,7940,0,0,1,0,12.94801,6.966024,8.999249
145,"20150227T000000",500000,4,2.25,2030,8517,1,0,0,4,8,1380,650,1961,0,98006,47.5495,-122.174,2230,8824,0,0,1,0,13.12236,7.615791,9.049819
146,"20141203T000000",921500,4,2.5,3670,315374,2,0,0,4,9,3670,0,1994,0,98077,47.7421,-122.026,2840,87991,0,0,1,0,13.73376,8.207947,12.66151
147,"20140625T000000",890000,4,1,2550,4000,2,0,0,3,8,2370,180,1905,0,98109,47.6354,-122.353,2200,4000,0,0,0,0,13.69898,7.843849,8.294049
148,"20140806T000000",430000,2,2.5,2420,60984,2,0,0,3,7,2420,0,2007,0,98027,47.5262,-121.943,1940,193842,0,0,0,0,12.97154,7.791523,11.01837
149,"20141030T000000",258000,5,2,2260,12500,1,0,0,4,8,1130,1130,1960,0,98032,47.3887,-122.286,1360,18000,0,0,1,0,12.46072,7.72312,9.433484
150,"20141104T000000",511000,3,1,1430,3455,1,0,0,3,7,980,450,1947,0,98103,47.6873,-122.336,1450,4599,0,0,0,0,13.14412,7.265429,8.147577
151,"20140820T000000",532170,3,2,1360,3090,2,0,0,3,8,1360,0,1990,0,98103,47.6838,-122.353,1500,3090,0,0,0,0,13.18472,7.21524,8.035927
152,"20150409T000000",560000,3,1,1110,5000,1.5,0,0,3,7,1110,0,1947,0,98107,47.655,-122.359,1420,5000,0,0,0,0,13.23569,7.012115,8.517193
153,"20150331T000000",282950,3,1,1250,8200,1,0,0,4,7,1250,0,1954,0,98003,47.3255,-122.304,1680,8633,0,0,1,0,12.55303,7.130899,9.011889
154,"20150401T000000",2250000,4,3.25,5180,19850,2,0,3,3,12,3540,1640,2006,0,98006,47.562,-122.162,3160,9750,0,0,0,0,14.62644,8.552561,9.895959
155,"20140516T000000",350000,1,1,700,5100,1,0,0,3,7,700,0,1942,0,98115,47.679,-122.3,1010,5100,0,0,0,0,12.76569,6.55108,8.536996
156,"20140728T000000",215000,3,1,1180,7669,1,0,0,4,7,1180,0,1967,0,98058,47.4479,-122.176,1190,7669,0,0,1,0,12.27839,7.07327,8.944942
157,"20141120T000000",650000,5,3.5,3960,25245,2,0,0,3,9,2500,1460,1996,0,98056,47.525,-122.172,2640,13675,0,0,0,0,13.38473,8.283999,10.13638
158,"20140807T000000",320000,4,2.75,2640,7500,1,0,0,3,8,1620,1020,1967,0,98023,47.3135,-122.369,1980,7875,0,0,0,0,12.67608,7.878534,8.922658
